snheghai	CCV-CV
toto	CV-CV
nghetsha	CV-CV
lhiizhe	CV-CV
rizo	CV-CV
niima	CV-CV
kadae	CV-CV
snaraei	CCV-CV
kxiitshai	CCV-CV
kxanhii	CCV-CV
thwhaeir*ae	CCV-CV
thiidae	CV-CV
taeisa	CV-CV
maetsho	CV-CV
nailha	CV-CV
taeir*ai	CV-CV
nlodhai	CCV-CV
demho	CV-CV
shetshe	CV-CV
shiimhii	CV-CV
lhaeine	CV-CV
nraeithaei	CCV-CV
nghor*ae	CV-CV
mithai	CV-CV
ksaeiwhaei	CCV-CV
lhaeimii	CV-CV
thonhaei	CV-CV
smaedhae	CCV-CV
snitshaei	CCV-CV
nhaeiwi	CV-CV
dhonha	CV-CV
thidae	CV-CV
naezhii	CV-CV
kaesaei	CV-CV
nger*ii	CV-CV
zhaite	CV-CV
miili	CV-CV
dhaeide	CV-CV
smhaeisai	CCV-CV
nghosha	CV-CV
tsiiki	CCV-CV
saigha	CV-CV
shozii	CV-CV
kthati	CCV-CV
mato	CV-CV
whiilhe	CV-CV
taenhae	CV-CV
tshainae	CV-CV
whaidhai	CV-CV
nriiwhaei	CCV-CV
thwhaka	CCV-CV
gaeidhae	CV-CV
lhaelhii	CV-CV
tshaeishi	CV-CV
ghailae	CV-CV
nhiidhii	CV-CV
mraenghii	CCV-CV
waeishae	CV-CV
xor*ii	CV-CV
ngiimhe	CV-CV
mrighe	CCV-CV
riizhae	CV-CV
daeisae	CV-CV
dhatho	CV-CV
nrina	CCV-CV
zhemhe	CV-CV
ngadai	CV-CV
salo	CV-CV
lomai	CV-CV
zhaeghae	CV-CV
whizaei	CV-CV
ngiiwo	CV-CV
nghiixi	CV-CV
whiizhe	CV-CV
maixi	CV-CV
tshiiro	CV-CV
tsoli	CCV-CV
ridai	CV-CV
mailae	CV-CV
naeinae	CV-CV
mronghi	CCV-CV
daro	CV-CV
r*aenghae	CV-CV
waer*e	CV-CV
lhaeighae	CV-CV
mr*iinghi	CCV-CV
raetae	CV-CV
smaelhe	CCV-CV
tiirii	CV-CV
kxaeni	CCV-CV
zhenho	CV-CV
niwii	CV-CV
ghaeiwhae	CV-CV
tshaito	CV-CV
tsadhai	CCV-CV
zhaizhe	CV-CV
waingo	CV-CV
snhomai	CCV-CV
smhithi	CCV-CV
kthonaei	CCV-CV
r*iino	CV-CV
gaeingae	CV-CV
r*eme	CV-CV
mr*ara	CCV-CV
shizhai	CV-CV
snhaeshae	CCV-CV
lalho	CV-CV
tser*e	CCV-CV
tsaezho	CCV-CV
mraer*ai	CCV-CV
zhainaei	CV-CV
naexo	CV-CV
taenai	CV-CV
ghaetshii	CV-CV
miwhi	CV-CV
nhathaei	CV-CV
ngiitshaei	CV-CV
ngaitai	CV-CV
gingo	CV-CV
mhamii	CV-CV
snair*e	CCV-CV
taeto	CV-CV
mr*ono	CCV-CV
range	CV-CV
smaitshaei	CCV-CV
toke	CV-CV
r*aeido	CV-CV
xawai	CV-CV
lhaige	CV-CV
nhaetshii	CV-CV
snidii	CCV-CV
sminhi	CCV-CV
r*atshe	CV-CV
mrige	CCV-CV
mlaeixe	CCV-CV
ngaedhae	CV-CV
ksaeinghai	CCV-CV
nlomo	CCV-CV
thwhaeinghaei	CCV-CV
shengi	CV-CV
thwhiitha	CCV-CV
giidhai	CV-CV
zelhii	CV-CV
taidhe	CV-CV
r*aide	CV-CV
snora	CCV-CV
tshaigai	CV-CV
nghaelhe	CV-CV
ksailaei	CCV-CV
tiwe	CV-CV
mringai	CCV-CV
mrothaei	CCV-CV
mhaeinaei	CV-CV
mrezhai	CCV-CV
whiiwhae	CV-CV
dota	CV-CV
lhaizaei	CV-CV
segaei	CV-CV
kaelhe	CV-CV
kxair*e	CCV-CV
tsaxo	CCV-CV
tsiili	CCV-CV
snaenhae	CCV-CV
smhanhii	CCV-CV
smaitshi	CCV-CV
nremi	CCV-CV
kxainghe	CCV-CV
ksima	CCV-CV
mrelhe	CCV-CV
tiizhae	CV-CV
ngaer*ae	CV-CV
zaekai	CV-CV
smhaithi	CCV-CV
lhaer*ii	CV-CV
raeshae	CV-CV
dhisi	CV-CV
thwhingi	CCV-CV
thwholhii	CCV-CV
wiwaei	CV-CV
mr*ailha	CCV-CV
disai	CV-CV
thwhaeigo	CCV-CV
gaeshae	CV-CV
waeimhaei	CV-CV
snighe	CCV-CV
tshowhaei	CV-CV
kaer*ii	CV-CV
daikaei	CV-CV
zaeire	CV-CV
daimai	CV-CV
nraetshe	CCV-CV
todae	CV-CV
dhaigii	CV-CV
kthomhe	CCV-CV
tshaixa	CV-CV
nlawaei	CCV-CV
lhaedha	CV-CV
xaeisai	CV-CV
gaeinghii	CV-CV
ksolha	CCV-CV
mlataei	CCV-CV
nghaeinaei	CV-CV
mhatsha	CV-CV
tshilhai	CV-CV
zhego	CV-CV
r*aeiwae	CV-CV
nhaeighae	CV-CV
snaelhae	CCV-CV
whomai	CV-CV
taelhe	CV-CV
tenhai	CV-CV
whaigae	CV-CV
nghenghae	CV-CV
thwhonghaei	CCV-CV
taiwaei	CV-CV
tidhaei	CV-CV
daeingho	CV-CV
lhiinghaei	CV-CV
nhaezaei	CV-CV
daighaei	CV-CV
mlaeimaei	CCV-CV
solhe	CV-CV
mr*odho	CCV-CV
snhanhae	CCV-CV
zholhai	CV-CV
thotha	CV-CV
nhaighaei	CV-CV
r*othi	CV-CV
nheze	CV-CV
ghaise	CV-CV
tsar*e	CCV-CV
nanghi	CV-CV
ksawii	CCV-CV
nhegii	CV-CV
snhaigae	CCV-CV
ngalha	CV-CV
maeinae	CV-CV
nilho	CV-CV
shaesho	CV-CV
thwhiga	CCV-CV
dhaeme	CV-CV
nhaer*ii	CV-CV
zaeza	CV-CV
kthanho	CCV-CV
kthaeshii	CCV-CV
nlailhii	CCV-CV
smaeisii	CCV-CV
thoghii	CV-CV
whaizai	CV-CV
nasha	CV-CV
whaingai	CV-CV
thwhaesha	CCV-CV
kthaeithe	CCV-CV
lhixa	CV-CV
zaedo	CV-CV
tango	CV-CV
kaeina	CV-CV
ditshae	CV-CV
notaei	CV-CV
lidhe	CV-CV
tshemha	CV-CV
whinghi	CV-CV
kxaeisi	CCV-CV
nraewho	CCV-CV
r*izha	CV-CV
nghaeir*ae	CV-CV
zhiigha	CV-CV
xiitho	CV-CV
wor*e	CV-CV
xewha	CV-CV
r*iimhai	CV-CV
ksiisha	CCV-CV
mringho	CCV-CV
xolhae	CV-CV
nliiri	CCV-CV
nar*ae	CV-CV
whangho	CV-CV
dhaeimo	CV-CV
smhiisa	CCV-CV
lhaengo	CV-CV
snhaighaei	CCV-CV
nheghaei	CV-CV
kthaeiwha	CCV-CV
zhigai	CV-CV
shexe	CV-CV
tsaeizo	CCV-CV
zhiixi	CV-CV
smhawhe	CCV-CV
nr*aewhi	CCV-CV
nlaetshai	CCV-CV
tsidha	CCV-CV
woghai	CV-CV
mr*iitai	CCV-CV
waeila	CV-CV
naeidhaei	CV-CV
xasho	CV-CV
tilho	CV-CV
riilo	CV-CV
nliine	CCV-CV
nemii	CV-CV
waishe	CV-CV
thwhigho	CCV-CV
metshe	CV-CV
tazhi	CV-CV
ghainga	CV-CV
linghaei	CV-CV
thwhodho	CCV-CV
thwhenge	CCV-CV
shedaei	CV-CV
modhii	CV-CV
zozhe	CV-CV
mlair*e	CCV-CV
rera	CV-CV
ghiikae	CV-CV
zhir*o	CV-CV
raighi	CV-CV
nriitsho	CCV-CV
naeixe	CV-CV
dhikii	CV-CV
medhii	CV-CV
nghekai	CV-CV
zhiwa	CV-CV
snigha	CCV-CV
waezii	CV-CV
kxiir*o	CCV-CV
ngaigai	CV-CV
tsholhae	CV-CV
gighii	CV-CV
giiti	CV-CV
lhesi	CV-CV
zhono	CV-CV
nlinhi	CCV-CV
saer*ai	CV-CV
dhaza	CV-CV
niwhai	CV-CV
shaeixae	CV-CV
tshaeitshi	CV-CV
nghile	CV-CV
thethi	CV-CV
nr*engai	CCV-CV
nginghaei	CV-CV
dhese	CV-CV
shamha	CV-CV
tsawo	CCV-CV
ksiiwhai	CCV-CV
kxaeidaei	CCV-CV
mige	CV-CV
smhingai	CCV-CV
tiinha	CV-CV
snhair*e	CCV-CV
thwhorae	CCV-CV
mhaeitshai	CV-CV
wotai	CV-CV
smaeike	CCV-CV
nghilo	CV-CV
mrewo	CCV-CV
tshaewhae	CV-CV
mr*ozhaei	CCV-CV
tsakii	CCV-CV
snoge	CCV-CV
thwhaizha	CCV-CV
ghize	CV-CV
nraege	CCV-CV
ksainho	CCV-CV
ngongii	CV-CV
kthetai	CCV-CV
xoshe	CV-CV
snaeighe	CCV-CV
snaeidho	CCV-CV
nhanhaei	CV-CV
zhaigho	CV-CV
snishae	CCV-CV
mr*amii	CCV-CV
snhaezhae	CCV-CV
tshotii	CV-CV
kanghii	CV-CV
lhiilhae	CV-CV
tsalhai	CCV-CV
nganghii	CV-CV
shaekaei	CV-CV
kthaeir*ai	CCV-CV
mrowhe	CCV-CV
smhiizhaei	CCV-CV
mronghe	CCV-CV
thwhiiwi	CCV-CV
ghiiwhae	CV-CV
raesi	CV-CV
kaeitshae	CV-CV
thwhaedhaei	CCV-CV
ksaxi	CCV-CV
ksaeilhe	CCV-CV
shiizii	CV-CV
sidaei	CV-CV
smhaeino	CCV-CV
nr*ikai	CCV-CV
mhoza	CV-CV
maeno	CV-CV
tshadho	CV-CV
kxiizhai	CCV-CV
nlitaei	CCV-CV
mr*aeshaei	CCV-CV
ghaino	CV-CV
tiiwhe	CV-CV
thwhaeinhi	CCV-CV
maeize	CV-CV
thwhoza	CCV-CV
r*iizho	CV-CV
nghiita	CV-CV
thishii	CV-CV
xaeinhai	CV-CV
whaidai	CV-CV
theti	CV-CV
denii	CV-CV
tsaitii	CCV-CV
sidhe	CV-CV
nghiiri	CV-CV
nraesha	CCV-CV
mraeinai	CCV-CV
nliti	CCV-CV
r*irae	CV-CV
kxishe	CCV-CV
ksaeiwae	CCV-CV
mr*ite	CCV-CV
lhiingai	CV-CV
thaena	CV-CV
mraide	CCV-CV
xaeixa	CV-CV
lhiidho	CV-CV
mralhi	CCV-CV
thwhaiwo	CCV-CV
nhaeiro	CV-CV
ghaeidhai	CV-CV
nritshaei	CCV-CV
thakae	CV-CV
ksomaei	CCV-CV
thaezae	CV-CV
ksaithae	CCV-CV
snonghae	CCV-CV
rema	CV-CV
ngimi	CV-CV
nr*iiwho	CCV-CV
snaixai	CCV-CV
thwhaedhae	CCV-CV
shar*o	CV-CV
xir*ii	CV-CV
nr*amhe	CCV-CV
nlamii	CCV-CV
nghiwi	CV-CV
mlaraei	CCV-CV
